child_table,fk_column,parent_table,parent_column,on_delete
party,org_id,org,id,NO ACTION
party,referred_by_party_id,party,id,NO ACTION
party,university_id,ref_entity,id,NO ACTION
payment,ai_capture_id,ai_capture,id,NO ACTION
payment,counterparty_party_id,party,id,NO ACTION
payment,import_batch_id,import_batch,id,NO ACTION
payment,org_id,org,id,NO ACTION
payment,reverses_payment_id,payment,id,NO ACTION
payment_allocation,charge_id,charge,id,NO ACTION
payment_allocation,invoice_line_id,invoice_line,id,NO ACTION
payment_allocation,org_id,org,id,NO ACTION
payment_allocation,payment_id,payment,id,NO ACTION
payment_allocation,writer_party_id,party,id,NO ACTION
payment_proof,file_object_id,file_object,id,NO ACTION
payment_proof,org_id,org,id,NO ACTION
payment_proof,payment_id,payment,id,NO ACTION
permission,org_id,org,id,NO ACTION
permission,role_id,role,id,NO ACTION
pf_ai_usage,pf_account_id,pf_account,id,NO ACTION
pf_anomaly_notice,pf_account_id,pf_account,id,NO ACTION
pf_audit_log,pf_account_id,pf_account,id,NO ACTION
pf_category,pf_account_id,pf_account,id,NO ACTION
pf_expense,category_id,pf_category,id,NO ACTION
pf_expense,pf_account_id,pf_account,id,NO ACTION
pf_expense,reverses_id,pf_expense,id,NO ACTION
pf_income,category_id,pf_category,id,NO ACTION
pf_income,pf_account_id,pf_account,id,NO ACTION
pf_income,reverses_id,pf_income,id,NO ACTION
pf_loan,pf_account_id,pf_account,id,NO ACTION
pf_loan_event,loan_id,pf_loan,id,NO ACTION
pf_loan_event,pf_account_id,pf_account,id,NO ACTION
pf_loan_event,reverses_id,pf_loan_event,id,NO ACTION
pf_note,pf_account_id,pf_account,id,NO ACTION
pf_note_attachment,note_id,pf_note,id,NO ACTION
pf_note_attachment,pf_account_id,pf_account,id,NO ACTION
pf_preferences,pf_account_id,pf_account,id,NO ACTION
pf_refresh_token,pf_account_id,pf_account,id,NO ACTION
pf_saving,pf_account_id,pf_account,id,NO ACTION
pf_saving_event,pf_account_id,pf_account,id,NO ACTION
pf_saving_event,reverses_id,pf_saving_event,id,NO ACTION
pf_saving_event,saving_id,pf_saving,id,NO ACTION
pf_subscription,category_id,pf_category,id,NO ACTION
pf_subscription,pf_account_id,pf_account,id,NO ACTION
pf_target,category_id,pf_category,id,NO ACTION
pf_target,pf_account_id,pf_account,id,NO ACTION
project,client_party_id,party,id,NO ACTION
project,org_id,org,id,NO ACTION
project,template_id,milestone_template,id,NO ACTION
ref_alias,org_id,org,id,NO ACTION
ref_alias,ref_id,ref_entity,id,NO ACTION
ref_entity,merged_into_id,ref_entity,id,NO ACTION
ref_entity,org_id,org,id,NO ACTION
ref_entity,parent_id,ref_entity,id,NO ACTION
role,org_id,org,id,NO ACTION
settlement_transfer,from_party_id,party,id,NO ACTION
settlement_transfer,import_batch_id,import_batch,id,NO ACTION
settlement_transfer,reverses_transfer_id,settlement_transfer,id,NO ACTION
settlement_transfer,to_party_id,party,id,NO ACTION
task,assignee_party_id,party,id,NO ACTION
task,assignee_user_id,user_account,id,NO ACTION
